pos shipped median sub norm
1 0.358 0.077 0.059 0.024
3 1.162 0.297 0.282 0.135
5 1.768 0.452 0.449 0.150
7 2.423 0.494 0.511 0.206
9 3.061 0.746 0.860 0.423
11 4.031 0.973 1.041 0.593
13 4.972 1.197 1.345 0.725
15 5.894 1.348 1.575 0.844
17 6.877 1.613 1.948 0.999
19 7.649 1.554 2.099 1.164
21 8.623 1.917 2.441 1.275
23 9.730 2.214 2.708 1.286
25 10.641 2.563 2.978 1.538
27 11.861 2.871 3.479 1.741
29 13.211 3.186 3.885 2.010
31 14.761 3.697 4.520 2.442
33 16.125 4.155 5.064 2.769
35 17.590 4.513 5.633 3.081
37 19.018 4.990 6.309 3.450
39 20.511 5.430 6.718 3.774
41 21.964 5.944 7.487 4.104
43 23.605 6.322 8.193 4.307
45 25.387 6.831 8.867 4.852
47 27.100 7.645 9.581 5.228
49 29.136 8.558 10.638 5.856
51 31.121 9.323 11.479 6.425
53 33.194 9.938 12.469 6.944
55 35.380 10.644 13.391 7.514
57 37.136 11.336 14.285 7.843
59 39.455 12.151 15.429 8.434
61 41.749 12.829 16.318 8.874
63 44.199 13.569 17.179 9.360
65 46.362 14.190 18.041 9.708
67 48.734 15.003 18.854 10.190
69 51.082 15.878 19.846 10.679
71 53.511 16.842 20.998 11.379
73 55.817 17.798 22.082 12.079
75 58.320 18.975 23.298 12.834
77 60.891 19.832 24.413 13.441
79 63.537 20.818 25.655 14.048
81 66.283 21.543 26.814 14.744
83 68.752 22.374 27.827 15.326
85 71.454 23.126 28.941 15.867
87 74.131 24.050 30.091 16.425
89 76.845 24.762 31.326 17.048
91 79.377 25.411 32.410 17.650
93 82.183 26.158 33.688 18.121
95 84.817 26.991 34.699 18.702
97 87.556 27.919 35.850 19.268
99 90.109 28.798 36.939 19.930
101 93.089 29.546 38.104 20.424
103 95.775 30.255 39.345 20.826
105 98.412 30.880 40.411 21.236
107 101.204 31.603 41.586 21.719
109 103.858 32.377 42.764 22.205
111 106.629 33.155 43.892 22.735
113 109.310 33.859 44.910 23.192
115 112.089 34.717 46.042 23.726
117 114.859 35.387 47.068 24.188
119 117.881 36.151 48.100 24.663
121 120.664 36.883 49.062 25.183
123 123.524 37.620 49.997 25.640
125 126.634 38.371 50.988 26.146
127 129.491 39.025 51.900 26.782
129 132.224 39.733 52.844 27.290
131 134.789 40.300 53.757 27.636
133 137.726 40.912 54.626 28.068
135 140.428 41.584 55.584 28.541
137 143.127 42.157 56.550 28.929
139 145.722 42.724 57.394 29.240
141 148.590 43.386 58.262 29.548
143 151.781 44.022 59.146 29.876
145 154.642 44.653 59.967 30.129
147 157.587 45.229 60.738 30.483
149 160.617 45.865 61.531 30.835
151 163.455 46.424 62.469 31.176
153 166.379 46.961 63.200 31.469
155 169.373 47.504 64.049 31.845
157 172.513 48.015 64.889 32.140
159 175.587 48.562 65.696 32.404
161 178.484 49.099 66.522 32.704
163 181.497 49.642 67.316 32.995
165 184.374 50.072 68.056 33.263
167 187.336 50.594 68.767 33.608
169 190.035 51.074 69.440 33.960
171 193.132 51.428 70.196 34.166
173 196.003 51.842 70.834 34.446
175 198.832 52.257 71.452 34.715
177 201.914 52.705 72.057 35.012
179 204.877 53.022 72.750 35.280
181 207.752 53.335 73.536 35.535
183 210.696 53.680 74.172 35.787
185 213.333 54.043 74.800 35.972
187 216.295 54.443 75.392 36.189
189 219.126 54.735 76.032 36.442
191 222.238 55.071 76.627 36.741
193 224.965 55.501 77.153 36.942
195 228.042 55.914 77.692 37.145
197 230.941 56.244 78.212 37.315
199 233.806 56.579 78.778 37.525
