pos med q1 q3
1 0.000 0.000 0.000
3 0.000 0.000 0.000
5 0.000 0.000 0.000
7 0.000 0.000 0.000
9 0.000 0.000 0.000
11 0.000 0.000 0.000
13 0.000 0.000 0.000
15 0.000 0.000 0.000
17 0.000 0.000 0.000
19 0.000 0.000 0.000
21 0.000 0.000 0.000
23 0.000 0.000 0.000
25 0.000 0.000 0.000
27 0.000 0.000 0.000
29 0.000 0.000 0.000
31 0.000 0.000 0.032
33 0.000 0.000 0.459
35 0.000 0.000 1.297
37 0.000 0.000 2.074
39 0.000 0.000 2.901
41 0.000 0.000 3.320
43 0.000 0.000 3.250
45 0.000 0.000 3.781
47 0.000 0.000 3.261
49 0.000 0.000 3.630
51 0.000 0.000 3.663
53 0.000 0.000 4.876
55 0.000 0.000 5.221
57 0.000 0.000 5.665
59 0.000 0.000 5.858
61 0.000 0.000 5.312
63 0.000 0.000 6.918
65 0.000 0.000 7.561
67 0.002 0.000 8.741
69 0.432 0.000 8.518
71 0.262 0.000 8.815
73 0.948 0.000 8.958
75 1.287 0.000 8.939
77 2.620 0.000 9.074
79 1.557 0.000 10.040
81 1.896 0.000 10.638
83 3.051 0.000 9.951
85 2.762 0.000 10.811
87 2.925 0.000 12.242
89 3.242 0.000 10.982
91 4.316 0.000 11.492
93 5.035 0.000 12.116
95 3.762 0.000 12.638
97 4.558 0.000 12.513
99 4.803 0.000 13.458
101 4.752 0.000 13.155
103 5.517 0.000 14.302
105 4.950 0.000 14.721
107 5.267 0.000 15.044
109 6.038 0.000 16.458
111 6.375 0.000 16.523
113 6.399 0.000 16.904
115 6.688 0.000 18.311
117 6.165 0.000 17.654
119 6.844 0.000 17.337
121 7.226 0.008 19.224
123 8.535 0.304 18.549
125 9.365 0.368 18.691
127 8.980 0.370 20.774
129 8.971 0.584 20.954
131 9.397 0.964 21.699
133 9.242 0.898 21.051
135 10.791 1.005 21.776
137 9.720 1.118 23.566
139 9.783 1.025 26.136
141 9.934 1.386 26.181
143 9.413 2.404 26.279
145 9.884 2.032 27.500
147 9.452 2.203 26.820
149 10.908 2.601 26.766
151 10.545 2.745 26.902
153 11.986 2.924 27.349
155 12.368 3.396 26.305
157 12.582 3.228 25.296
159 13.922 4.063 27.391
161 13.330 3.870 27.690
163 13.289 5.116 27.133
165 13.611 3.907 27.260
167 14.532 3.979 27.590
169 15.319 4.418 27.733
171 14.753 3.994 28.789
173 14.303 4.434 29.343
175 15.448 4.635 29.491
177 15.750 4.701 29.901
179 15.844 3.732 30.405
181 16.532 4.404 30.612
183 16.775 5.416 32.470
185 16.383 6.515 30.564
187 17.185 7.593 31.917
189 18.010 7.688 31.826
191 17.909 7.789 32.717
193 18.571 7.742 34.639
195 18.138 6.741 33.492
197 19.524 7.778 34.281
199 21.085 8.375 34.801
