pos med q1 q3
1 0.000 0.000 0.000
3 0.000 0.000 2.232
5 0.787 0.000 3.449
7 2.272 0.000 4.700
9 3.292 0.944 6.191
11 4.284 1.497 7.255
13 4.945 2.504 8.743
15 6.048 3.060 10.258
17 7.158 3.430 11.418
19 8.419 4.089 12.897
21 8.738 4.871 15.076
23 10.183 5.877 15.644
25 11.865 6.919 16.833
27 12.611 7.356 18.970
29 13.639 7.978 20.607
31 15.086 9.208 22.543
33 16.576 9.674 23.976
35 18.340 10.826 25.022
37 19.197 11.739 26.542
39 21.200 13.185 28.172
41 22.855 14.253 30.175
43 23.990 16.010 32.111
45 26.019 16.589 34.361
47 27.233 18.638 36.206
49 29.831 20.140 37.239
51 30.276 21.139 40.167
53 32.186 22.769 42.198
55 33.977 24.000 44.133
57 36.275 25.135 46.925
59 37.822 26.546 48.160
61 39.811 28.035 51.026
63 40.630 29.257 53.221
65 42.884 30.899 54.219
67 44.111 32.254 57.507
69 46.074 34.523 59.670
71 47.978 35.755 61.673
73 49.377 37.158 64.538
75 50.988 39.582 68.397
77 52.247 40.695 69.424
79 53.554 42.292 72.441
81 56.037 43.144 73.271
83 57.344 45.426 75.386
85 59.356 46.656 78.059
87 61.169 47.307 80.212
89 63.535 49.846 82.791
91 65.259 51.316 82.463
93 66.922 53.167 85.658
95 69.172 54.163 85.993
97 70.623 55.982 88.617
99 72.363 58.793 90.837
101 75.049 61.464 93.736
103 76.798 62.505 95.612
105 78.949 63.065 98.548
107 80.576 65.668 99.954
109 81.122 66.545 101.049
111 84.899 68.641 105.329
113 85.667 70.032 107.374
115 88.327 71.658 109.446
117 90.530 73.067 112.071
119 91.929 75.867 112.496
121 93.675 78.551 114.498
123 96.199 80.137 115.434
125 97.399 81.877 120.694
127 98.845 83.111 125.262
129 100.923 84.226 126.734
131 102.148 86.620 127.802
133 104.716 88.128 128.519
135 107.541 90.668 133.370
137 109.137 93.164 134.320
139 110.883 93.599 135.157
141 114.019 95.365 137.987
143 116.003 96.752 140.401
145 118.861 99.118 144.014
147 120.012 101.376 146.014
149 122.497 102.757 148.125
151 124.659 103.805 150.764
153 126.351 106.714 153.522
155 128.989 107.517 156.577
157 130.282 110.417 158.651
159 133.593 112.149 161.912
161 135.942 113.619 164.485
163 138.344 115.461 168.224
165 140.502 116.982 170.776
167 142.086 120.964 172.332
169 144.536 122.767 174.875
171 147.270 123.718 178.937
173 149.433 124.761 182.814
175 151.260 127.475 185.398
177 152.044 128.558 188.062
179 155.085 132.773 190.382
181 157.916 134.167 192.996
183 159.410 135.886 197.432
185 161.273 136.600 200.202
187 163.921 136.397 201.647
189 166.121 139.406 203.164
191 169.410 141.648 204.295
193 168.924 144.096 208.357
195 171.405 145.666 209.156
197 173.283 148.401 212.010
199 176.253 151.195 213.902
