pos med q1 q3
1 0.000 0.000 0.000
3 0.000 0.000 0.027
5 0.000 0.000 3.459
7 0.000 0.000 4.728
9 1.736 0.000 5.370
11 2.980 0.000 6.568
13 4.251 0.000 7.907
15 4.143 0.000 8.320
17 5.133 0.346 9.846
19 5.318 1.686 10.524
21 6.594 1.978 11.892
23 7.649 2.675 13.033
25 8.162 3.716 13.715
27 8.811 4.156 15.854
29 9.669 5.903 16.646
31 11.410 6.112 18.247
33 12.447 6.504 20.643
35 13.581 7.629 21.068
37 15.441 8.282 22.871
39 16.309 9.902 24.802
41 18.246 10.355 25.819
43 19.428 11.155 27.584
45 19.789 13.012 29.211
47 21.924 14.165 30.973
49 23.389 14.563 31.566
51 25.318 16.515 34.390
53 26.983 18.396 36.532
55 28.813 19.292 38.792
57 30.694 20.968 40.895
59 32.033 21.650 42.308
61 33.549 23.884 44.105
63 34.762 25.090 45.988
65 37.219 25.571 48.495
67 39.448 26.790 50.346
69 40.911 28.113 52.650
71 42.407 29.904 54.789
73 43.837 31.494 57.467
75 44.862 32.201 58.341
77 46.641 34.139 60.127
79 48.554 36.386 61.124
81 49.627 37.552 63.437
83 51.273 38.956 65.715
85 53.823 39.149 67.465
87 54.993 42.015 68.745
89 57.533 44.617 71.259
91 58.287 46.008 73.960
93 61.585 45.879 75.386
95 63.545 46.310 76.687
97 65.273 49.220 78.047
99 65.616 50.493 80.959
101 68.463 52.173 83.384
103 71.227 54.940 85.271
105 74.062 57.067 88.213
107 76.985 58.434 88.869
109 76.354 59.734 92.543
111 78.942 61.246 94.203
113 80.132 63.185 97.948
115 82.665 66.361 101.732
117 83.575 64.850 104.837
119 86.203 67.100 104.999
121 88.144 69.291 107.989
123 90.175 70.520 109.825
125 92.578 72.078 113.679
127 93.986 74.891 116.305
129 96.525 76.002 118.666
131 98.012 77.146 119.874
133 99.539 78.278 123.303
135 101.222 81.556 125.996
137 103.454 83.401 128.896
139 105.188 86.922 132.182
141 107.163 87.972 133.514
143 109.158 89.467 136.695
145 113.792 90.758 139.051
147 116.258 91.956 140.931
149 117.554 94.815 145.405
151 119.502 97.259 144.919
153 122.246 99.529 146.884
155 123.795 103.660 148.825
157 126.347 105.509 149.910
159 128.700 107.396 155.198
161 131.565 109.383 158.406
163 133.788 110.979 159.854
165 134.958 112.662 165.686
167 137.431 114.122 169.815
169 139.493 117.411 170.893
171 142.157 119.375 172.209
173 145.507 121.135 172.683
175 149.899 125.220 173.633
177 152.029 124.777 176.499
179 156.362 129.644 179.675
181 155.899 131.124 182.090
183 157.652 132.836 183.849
185 160.000 133.456 187.101
187 162.965 135.987 190.199
189 166.297 138.607 195.168
191 170.020 140.860 196.881
193 171.586 142.088 199.201
195 172.441 143.248 200.638
197 177.646 146.564 204.218
199 178.859 148.614 206.831
