pos med q1 q3
1 0.000 0.000 0.000
3 0.000 0.000 0.000
5 0.000 0.000 1.948
7 0.000 0.000 4.200
9 0.000 0.000 5.403
11 1.919 0.000 6.565
13 3.154 0.000 8.759
15 4.369 0.000 9.409
17 5.684 0.000 11.593
19 7.001 0.728 12.171
21 8.421 1.878 14.419
23 8.704 2.023 15.157
25 9.598 3.087 17.278
27 10.969 5.306 19.260
29 12.445 5.625 21.226
31 13.775 6.501 22.945
33 14.189 7.327 23.270
35 16.056 7.665 26.970
37 17.416 6.780 27.443
39 18.739 8.170 29.240
41 20.527 8.337 29.360
43 21.809 9.403 33.085
45 23.166 10.798 34.106
47 24.977 10.937 35.457
49 25.779 12.388 38.017
51 27.095 12.791 39.090
53 27.395 13.499 42.004
55 27.990 15.893 44.859
57 29.080 14.516 45.799
59 30.900 14.659 48.273
61 30.794 15.667 48.422
63 33.133 16.239 51.035
65 33.669 17.052 52.036
67 34.634 18.281 54.092
69 36.982 17.453 56.184
71 38.606 18.214 57.950
73 39.229 18.553 58.830
75 41.449 19.325 59.475
77 43.767 20.786 62.417
79 43.194 22.172 64.568
81 44.056 22.204 67.373
83 46.343 22.368 67.225
85 46.829 22.518 69.764
87 49.032 22.664 72.693
89 49.909 23.791 74.688
91 50.052 25.454 76.183
93 51.674 26.484 79.937
95 55.227 27.900 81.511
97 57.056 28.616 84.479
99 58.632 29.239 86.447
101 59.569 31.958 88.955
103 61.745 33.615 90.957
105 61.975 35.094 92.690
107 63.814 34.829 95.770
109 64.140 36.210 98.962
111 65.726 37.390 100.307
113 68.386 38.274 101.925
115 68.312 40.242 103.063
117 70.607 41.684 105.280
119 70.256 44.404 106.888
121 72.987 44.616 107.136
123 74.326 47.744 109.762
125 77.062 50.458 113.723
127 77.800 52.274 114.238
129 79.228 52.923 117.101
131 80.539 56.608 116.852
133 81.230 57.905 120.410
135 81.325 59.789 121.383
137 83.083 61.019 121.249
139 85.610 61.697 124.214
141 87.123 61.989 127.608
143 88.013 65.762 128.479
145 91.077 67.134 128.911
147 92.955 66.671 131.871
149 96.082 67.054 132.833
151 97.813 69.520 137.054
153 100.166 70.945 138.608
155 100.786 72.828 141.783
157 102.500 74.483 143.397
159 104.063 77.466 146.179
161 106.858 78.542 147.585
163 109.926 79.993 148.668
165 111.219 81.328 152.465
167 112.452 79.450 156.533
169 114.575 80.607 159.069
171 117.190 80.754 163.902
173 117.004 82.329 167.910
175 117.692 81.995 169.913
177 118.192 83.352 170.339
179 120.686 85.424 173.536
181 123.596 87.109 176.619
183 123.878 87.186 176.487
185 127.137 88.377 177.166
187 128.495 90.208 177.925
189 131.562 91.981 181.192
191 129.892 90.856 182.573
193 133.103 90.692 183.674
195 134.960 93.804 187.100
197 136.453 95.233 190.854
199 136.747 96.946 192.588
