pos med q1 q3
1 0.000 0.000 0.000
3 0.000 0.000 0.000
5 0.000 0.000 3.146
7 0.000 0.000 4.036
9 0.000 0.000 5.272
11 2.075 0.000 6.488
13 3.731 0.000 7.957
15 5.005 0.000 10.226
17 6.442 0.000 11.208
19 6.580 0.149 12.134
21 7.010 1.182 12.982
23 8.124 2.740 15.078
25 9.224 3.420 17.980
27 10.910 3.860 19.324
29 12.016 5.557 20.656
31 12.414 6.823 21.994
33 13.388 6.797 23.956
35 14.332 6.539 24.514
37 15.536 7.247 26.148
39 16.806 8.360 29.734
41 18.870 8.797 30.457
43 19.759 9.344 33.588
45 21.161 10.798 34.730
47 23.941 11.165 37.224
49 26.514 12.949 39.692
51 27.840 14.944 42.432
53 28.489 15.450 43.743
55 30.415 16.024 44.576
57 32.808 17.818 45.255
59 33.002 17.739 48.640
61 34.532 18.643 50.748
63 37.541 19.098 52.443
65 39.444 20.396 54.932
67 41.108 23.057 57.745
69 41.867 22.426 59.151
71 43.179 25.323 62.078
73 45.237 26.929 64.361
75 47.573 26.291 66.788
77 49.562 28.552 68.585
79 50.853 29.541 71.902
81 51.620 31.449 74.005
83 54.678 32.419 75.229
85 56.563 33.489 78.426
87 60.193 36.433 79.435
89 61.951 38.402 83.697
91 62.527 40.216 85.525
93 64.761 42.255 88.646
95 66.333 43.259 91.867
97 68.759 43.840 94.105
99 71.624 45.931 96.246
101 73.951 46.911 98.096
103 76.696 47.286 102.970
105 76.983 50.606 104.433
107 80.436 51.110 107.469
109 82.058 54.115 110.581
111 83.665 56.764 113.318
113 86.091 59.579 117.217
115 89.817 61.286 118.697
117 90.642 58.999 120.898
119 94.415 61.173 124.569
121 98.091 63.290 127.010
123 100.732 64.318 130.247
125 102.769 67.631 132.919
127 103.707 69.151 135.311
129 105.340 71.083 138.361
131 108.023 72.278 139.853
133 111.512 76.551 142.910
135 110.649 78.073 144.251
137 114.056 78.834 147.840
139 113.399 82.224 149.483
141 117.144 84.549 153.293
143 116.779 83.536 153.454
145 117.423 83.697 157.662
147 120.855 87.663 159.940
149 122.352 88.264 166.527
151 125.232 91.200 167.387
153 130.833 93.666 170.553
155 132.960 100.180 172.915
157 136.989 98.608 175.743
159 141.434 98.873 178.124
161 140.554 103.050 180.202
163 145.832 104.331 184.565
165 145.479 107.035 187.739
167 147.730 107.385 191.617
169 150.139 112.334 191.187
171 153.607 114.603 198.216
173 154.147 113.473 202.397
175 159.597 114.334 204.273
177 161.957 115.712 207.521
179 167.032 120.631 212.484
181 168.945 122.685 217.279
183 172.388 126.674 218.376
185 175.006 127.977 226.722
187 177.559 128.326 229.201
189 178.696 130.441 231.977
191 180.320 134.519 235.495
193 183.138 134.603 237.691
195 185.884 135.741 241.572
197 188.473 139.246 245.010
199 190.927 139.511 245.377
